Raw material,Climate change (kg CO2-Eq),Ecosystem quality (PDF.m2.yr),Human health (DALYs),Water use (m3 world Eq deprived)
"Lithium hydroxide, brine",7.670832061645222,0.8270678671277683,5.786724070035559e-06,2.078439864043093
"Lithium hydroxide, spodumene",17.180444739941642,3.3443998676110542,2.209553953893228e-05,2.4873350896276554
Cobalt,14.927615465580471,3.3516728733851617,2.839904789613407e-05,4.52426147183495
Nickel,5.460966404839911,6.702594979111114,3.2822880879112835e-05,1.0335200643796842
"Graphite, natural",10.541639606837933,2.119473484868038,9.405329949074163e-06,36.36438161936414
"Graphite, synthetic",43.73511384179168,7.39209792722911,3.276142835423654e-05,4.378196512902737
"Lithium carbonate, brine",3.6103663558334054,0.5178738997074869,2.7545864625386825e-06,1.86903774696938
"Lithium carbonate, spodumene",24.024092149809455,4.659097280612614,3.1322432750225814e-05,3.387107246137128
Neodymium,55.058910422223626,72.89590531886353,7.878488572545642e-05,36.11756338715857
"Copper concentrate, Canada",1.2497262621144383,2.174541853364002,3.076701286561955e-06,2.1013411165239466
"Market for copper, cathode",7.01415158468958,9.459163127842757,8.845075537629864e-05,5.6031417645788
